x	y	index
14.67	49.78	198
14.1	49.96	296
16.6794	49.4823	162
16.4353	49.3606	64.5
16.4566	49.3376	37
16.6592	48.7955	0
16.6574	48.809	172
16.7373	48.9337	110
16.8386	48.7545	85
16.8737	48.7572	31
16.6471	48.8029	28
16.7159	49.2043	280
16.6144	49.2173	156
16.4767	49.2118	140
16.6253	49.2452	45
14.5	49.03	135
14.45	48.97	46
14.44	49.01	42
14.3	48.82	178
14.4	48.75	82
14.515	50.691	34
14.524	50.692	18
12.97	49.3404	9
18.38	49.646	40
18.372	49.651	8
15.5968	49.5914	206
15.5847	49.6145	87
15.86	50.19	145
15.84	50.18	67
17.1249	48.8369	58
13.2851	50.3049	41
15.8983	49.7596	88
15.8076	49.9575	20
15.03	49.14	218
14.8	49.03	192
15.4389	49.0844	108
15.4365	49.1875	55.5
15.2803	49.9678	200
15.3911	49.905	82
14.1	50.23	220
14.11	50.12	108
14.1	50.15	52
13.2753	49.3934	16
15.1744	50.0388	292
15.2204	50.0234	134
15.2786	50.0092	74
17.545	49.3278	80
14.29	50.411	164
14.146	50.514	64
14.671	50.3183	23
14.8104	50.3305	21
14.897	50.432	22
14.456	50.361	90
14.324	50.25	54
13.0372	50.3553	17
16.14	50.4	256
16.16	50.43	234
15.93	50.34	231
17.268	49.563	48
17.29	49.616	20.30769231
18.227	49.801	53.33333333
18.239	49.826	32
15.9884	50.0617	64
15.23	49.44	236
15.35	49.53	124
14.11	49.3	302
14.18	49.32	70
13.3374	49.7415	18
13.3565	49.7159	6
13.78	49.07	170
14.48	50.02	226
14.36	50.04	199
14.61	50.1	189
14.57	49.99	138
14.46	50.14	108
14.32	50.09	84
17.75	49.53	284
14.2	49.69	183
17.1	49.4826	159
17.1181	49.4815	111.6
17.0594	49.4744	38
13.93	49.25	128
16.8987	49.8684	128
16.994	49.9758	100
16.9068	49.7844	49.33333333
16.994	49.9758	44
16.2765	49.6989	148
16.4516	49.7686	110
14.72	49.25	344
14.69	49.16	184
14.66	49.4	117
15.793	49.0461	112
15.5625	49.0271	106
15.97	50.56	252
15.91	50.57	174.6666667
15.84	50.45	48
17.61	49.03	314
17.44	49.06	220
16.1741	49.9399	136
17.97	49.43	186
17.96	49.34	152
16.9801	49.2997	138
17.0151	49.2968	84
16.9833	49.2906	45
15.9638	49.5491	199.5
17.77	49.11	288
18.1	49.13	154
16.3139	49.0427	50
16.3268	49.0335	28
14.66	49.78	339
14.86	49.7	100
14.08	49.96	26
14.07	49.94	28
16.69	49.48	166
16.66	49.37	49.33333333
16.66	48.81	268
16.74	48.93	70.8
16.51	49.24	219
16.52	48.98	195
17.68	50.09	291
17.47	49.98	124
14.54	50.66	176
14.61	50.89	129
12.91	49.43	318
18.67	49.67	54
18.67	49.66	78
18.32	49.67	345
15.86	50.19	200.4
17.15	49.01	206
17.37	48.95	230
12.7	49.97	196
12.46	50.01	91.5
12.21	50.21	115.5
13.25	50.37	417
13.45	50.51	351
15.8	49.94	182
15.9	49.76	132
15.16	50.71	78
15.15	50.72	348
17.21	50.23	249
15.36	50.44	276
15.61	49.41	70
15.62	49.41	112
15.43	49.19	190.5
18.38	49.91	42
18.38	49.9	50
18.44	49.87	222
18.46	49.77	138
18.53	49.85	348
18.6	49.75	180
14.01	50.13	114
14.09	50.23	507
13.27	49.4	115.5
17.37	49.3	262
12.89	50.24	144
14.95	50.32	43.5
12.94	50.34	129
15.01	50.77	234
14.05	50.52	110
13.56	50.34	57
13.74	50.36	103.5
14.92	50.4	204
14.51	50.28	214
14.29	50.26	19.5
13.63	50.49	73
13.61	50.61	58
16.16	50.43	100.8
18.02	49.58	70
18.17	49.6	48
15.14	50.14	450
15.07	50.19	213
17.30	49.73	125
17.9	49.96	150
15.77	50.05	209
13.34	49.72	71
13.42	49.76	146
14	49.04	158
14.67	50.19	453
17.46	49.46	120
14.01	49.7	486
14.01	49.72	102
17.12	49.48	119
13.76	50.11	276
13.47	50.09	174
13.59	49.75	106.5
16.26	50.17	65
15.14	50.6	114
12.64	50.18	118
14.17	49.16	76.5
16.91	49.79	113
16.9	49.87	128
16.99	49.98	69.6
16.45	49.77	45.42857143
16.28	49.7	120
14.48	49.3	118
12.62	49.8	369
13.86	50.66	45
13.89	50.68	57
15.91	49.22	234
15.83	50.45	59
15.91	50.55	75
15.17	50.63	38
17.35	49.14	37.5
14.05	50.62	57
13.95	50.65	60
16.17	49.94	141
16.43	49.9	134
16.41	49.97	71
18.17	49.47	63
16.96	49.15	99
16.98	49.28	138
16.03	49.35	501
15.96	49.55	94
17.6	49.21	214
17.5	49.22	88.8
16.04	48.85	196
16.3	49.05	196
16.29	48.83	90
