xpraha	ypraha	xbrno	ybrno	xostrava	yostrava	xplzen	yplzen
14.56918	50.00764	16.64951	49.28664	18.09885	49.83009	13.30222	49.70139
14.52902	50.0104	16.61601	49.27641	18.11204	49.83242	13.29421	49.71687
14.51964	49.99415	16.64292	49.26187	18.1049	49.84153	13.30623	49.73706
14.48548	49.99248	16.64199	49.24754	18.13173	49.87386	13.28502	49.74061
14.46235	49.97123	16.67348	49.23318	18.14191	49.86463	13.29124	49.76412
14.42425	49.96424	16.66953	49.22106	18.14836	49.87083	13.32509	49.76786
14.40016	49.97129	16.68181	49.21778	18.16352	49.85995	13.33314	49.78065
14.39617	49.94224	16.71387	49.24385	18.18734	49.86354	13.35221	49.77661
14.38872	49.94951	16.72806	49.23662	18.20616	49.85534	13.36319	49.78741
14.33829	49.94756	16.71172	49.21188	18.20999	49.86655	13.35168	49.80022
14.32734	49.95565	16.71919	49.19356	18.22715	49.86263	13.40088	49.80517
14.34676	49.97234	16.69449	49.18517	18.2608	49.88223	13.41435	49.77935
14.3277	49.97106	16.69958	49.15111	18.2748	49.88031	13.42602	49.78699
14.34201	49.99026	16.71263	49.14557	18.31808	49.90973	13.44284	49.77343
14.31832	49.98875	16.70842	49.12876	18.32871	49.89776	13.47157	49.77444
14.29599	50.00195	16.68558	49.12603	18.32186	49.88911	13.46832	49.74303
14.30148	50.01153	16.6744	49.11502	18.2978	49.88929	13.45097	49.73429
14.31135	50.00683	16.63335	49.11763	18.30125	49.87686	13.44399	49.70703
14.31709	50.02292	16.63202	49.10908	18.31712	49.86929	13.42941	49.70323
14.28842	50.02726	16.62701	49.12542	18.33451	49.88299	13.44044	49.6779
14.26848	50.04226	16.64158	49.13265	18.34373	49.87802	13.40335	49.67973
14.27203	50.05421	16.64044	49.14505	18.34609	49.84766	13.40181	49.68946
14.24861	50.05848	16.59151	49.13387	18.36804	49.84216	13.33211	49.68047
14.25838	50.07191	16.59328	49.15889	18.36309	49.81877	13.32895	49.7035
14.2903	50.07513	16.55859	49.15257	18.37404	49.80622	13.30222	49.70139
14.26235	50.08741	16.54835	49.16821	18.34835	49.7726	NA	NA
14.25232	50.10406	16.53113	49.16628	18.2967	49.77967	NA	NA
14.22556	50.10382	16.49717	49.18287	18.30726	49.76249	NA	NA
14.28716	50.11575	16.49242	49.19624	18.29792	49.75035	NA	NA
14.30188	50.13015	16.46164	49.19172	18.26985	49.7435	NA	NA
14.31618	50.12832	16.42807	49.21696	18.27077	49.73037	NA	NA
14.3205	50.11492	16.46419	49.28263	18.25609	49.72657	NA	NA
14.36253	50.11589	16.49276	49.27356	18.23688	49.74028	NA	NA
14.35463	50.13691	16.52823	49.24167	18.18422	49.74104	NA	NA
14.36475	50.14784	16.5319	49.2548	18.17697	49.75215	NA	NA
14.39391	50.14188	16.54149	49.25033	18.1392	49.77032	NA	NA
14.401	50.14786	16.55033	49.25924	18.15314	49.8061	NA	NA
14.42829	50.15826	16.56224	49.25312	18.13539	49.80743	NA	NA
14.46501	50.15897	16.5542	49.26559	18.13559	49.83327	NA	NA
14.47945	50.17246	16.59921	49.29313	18.09885	49.83009	NA	NA
14.53347	50.17679	16.64951	49.28664	NA	NA	NA	NA
14.53355	50.16147	NA	NA	NA	NA	NA	NA
14.56038	50.16126	NA	NA	NA	NA	NA	NA
14.56339	50.14983	NA	NA	NA	NA	NA	NA
14.59871	50.15396	NA	NA	NA	NA	NA	NA
14.58765	50.14516	NA	NA	NA	NA	NA	NA
14.60153	50.12946	NA	NA	NA	NA	NA	NA
14.65873	50.12276	NA	NA	NA	NA	NA	NA
14.65758	50.10693	NA	NA	NA	NA	NA	NA
14.70287	50.0925	NA	NA	NA	NA	NA	NA
14.70001	50.07235	NA	NA	NA	NA	NA	NA
14.64095	50.05689	NA	NA	NA	NA	NA	NA
14.64391	50.04167	NA	NA	NA	NA	NA	NA
14.654	50.04882	NA	NA	NA	NA	NA	NA
14.66649	50.03885	NA	NA	NA	NA	NA	NA
14.65803	50.00412	NA	NA	NA	NA	NA	NA
14.64013	50.00577	NA	NA	NA	NA	NA	NA
14.64117	49.99454	NA	NA	NA	NA	NA	NA
14.60835	49.99992	NA	NA	NA	NA	NA	NA
14.58334	50.01607	NA	NA	NA	NA	NA	NA
14.56918	50.00764	NA	NA	NA	NA	NA	NA
